ID,案件名,職種,技術スキル,金額,勤務地,案件概要,開発環境,募集条件
T260118-0313,Webディレクター（汐留）,Webディレクター,"HTML, CSS, JavaScript, AWS, PHP",〜70万円／月（スキル見合い）,汐留 / リモート可（週1〜）,"各種案件のディレクション業務をメインとします。
- クライアントとの要件整理、進行管理、見積、契約、折衝など
- 営業や開発（オフショア含む）との連携
- スケジュール管理および品質チェック、コスト管理
- 必要に応じて企画・提案業務
（案件例）
・BtoB向けニュース配信サービスの開発・運用業務
・自社および関連会社のコーポレートサイト運用
・デジタルサイネージの開発・運用
・スポーツ記録配信サイト運用
・新規サービスなど
※上記は一例となります。人材の適性を見ながらお任せする業務を調整する想定です",,"以下の◎は重要スキル
◎Webディレクター経験5年以上
・Web制作（BtoB)におけるディレクションスキル全般
・プロジェクト管理、スケジュール管理、アクセス解析
・Webデザインの知識
・HTML、CSS、JavaScriptの知識
・Web広告・PRの知識
・ベンダーマネジメントスキル全般
・プロジェクト管理、スケジュール管理
◎AWS、PHP、API連携周りの知識・業務経験がある方（エンジニアと技術的な会話ができるレベル）
◎技術的な部分を顧客に対してわかりやすく説明できる方
・システムの改修や運用改善の提案等の経験がある方
・わかりやすいドキュメントを作成できる方
◎のスキルを満たしていることを確認の上提案していただきますようお願いいたします。
20代～40代迄　※外国籍可、N1必須、在日10年以上
・短期案件が多い方はNG
・BtoC、ECサイトのみのディレクション経験の方はNG"
T260118-0317,運用支援ポータル構築支援案件,システムエンジニア(SE),"SharePoint, Power Automate",60万円まで,渋谷 / 常駐（Plus10）,運用支援ポータル構築業務 SharePointによるポータルサイトの検討～作成 顧客との要件調整対応あり,,必須：コミュニケーション能力が良好な方、指示待ちではなく主体的に行動できる方、SharePoint。尚可：Power Automate。外国籍不可。50代まで希望。
T260118-0319,自動車会社向け 保守開発,汎用機エンジニア,COBOL,~55万程度,和光 / 常駐（Plus10）,自動車会社向けの保守開発案件です。2月からの稼働で中長期を予定しています。工程は基本設計から。面談は2回予定（1回の可能性あり）。募集人数は1名で、外国籍は不可です。,OS：IBM汎用機OS,自動車業界でのホスト開発経験者、COBOLでの開発経験者（基本設計～）、自ら考えて動けコミュニケーションを取れる方。年齢は62歳まで（若々しい方に限る）。
T260118-0320,歯科ポータルサイト向け既存機能改修,システムエンジニア(SE),"PHP, Zend Framework",～55万円(スキル見合い),品川or田町駅からバスで10分程度 / リモート可（週1〜）,既存ソースを読んで内容を理解し、改修を行う,,PHPとPHPフレームワークを用いた経験。尚可：Zendframeworkの経験、他FW経験。年齢：50歳程度。外国籍不可。
T260203-0446,某大手予備校 Web運用ディレクション支援,Webディレクター,,45万円（スキル見合い）,西新宿 / リモート可（週1〜）,"2026年4月からの本格運用開始に向けた、大規模Webサイトの運用ディレクション業務です。現在は前ベンダーからの引き継ぎ・体制構築フェーズにあり、定常運用（既存ページ更新、バナー作成、新規イベント対応等）のディレクションをメインに担当いただきます。

業務内容:
既存ページの更新・修正ディレクション
新規イベント、講習会、キャンペーン等の制作進行管理
導線設計、バナー作成を含むディレクション業務
運用開始に向けた引き継ぎ作業およびドキュメント整備
顧客（予備校担当者）との密なコミュニケーション（電話説明含む）",,"＜必須＞
大規模Webサイトの運用ディレクション（制作進行管理）経験
Git / SourceTree / SubVersion 等の構成管理ツールの知識・経験
モジュール（コンポーネント）概念を意識した画面設計の理解
徹底した自己検品能力と、差し込み案件に対応できるマルチタスク管理能力
繁忙期（12月～3月）の土日・夜間対応が可能な方（原則22時まで）
主体的に状況をとりまとめ、顧客へ報告・連携ができる方

＜優遇＞
学習塾、受験業界に関する知識・経験

年齢： 30代まで
国籍： 外国籍不可
個人事業主不可"
T260203-0429,OPEN-RAN（O-RAN）、V-RAN（vRAN）領域の保守チームの立ち上げ,インフラエンジニア,,スキル見合い（MAX100万円前後※応相談）,川崎 / リモート可（週1〜）,V-RAN領域を先行している通信会社様にて、海外へのネットワークデリバリのPoCフェーズから、本格的に商用環境の導入がスタートとなり、運用保守のチームの立ち上げを進めております。保守チーム立上げにあたり、0→1の業務フローの作成、仕組みづくりをご支援いただける方の募集となります。想定される業務としては下記となります。・運用保守業務フローの立ち上げ・障害対応の保守フロー（障害対応はオフショアを想定）・マニュアル作成・他チームとの連携方法等,,"■必須要件：・SI事業におけるNW領域の保守経験・マルチベンダーの機器で構成されているITプロダクトの保守経験・ビジネスレベルの英語力
■尚可要件：・OPEN-RANに関する業務経験・英語力（ビジネスレベルのヒアリング・スピーキング）"
T260118-0333,通信キャリア向け 共通BL構築/運営（Java/SpringBoot）,バックエンドエンジニア,"Java, SpringBoot",65万円/月 ※応相談,フルリモート,各種フロントシステムで共通的に利用できるAPI（共通ビジネスロジック）の構築および運営を担当。基本設計からリリースまでの一連の工程に携わる。,,Java / SpringBoot での開発経験（3年以上）、基本設計から実務対応が可能なこと。尚可：プロジェクトの推進経験。外国籍不可。40代まで希望。ハイスキル・高単価よりも、着実に基本設計から実装までを遂行できる方を求めています。
T260203-0447,公式サイトUI/UXデザイナー募集,UI・UXデザイナー,Figma,～50万円（スキル見合い）,六本木一丁目 / リモート可（週1〜）,証券公式サイトの新規・既存サービスにおけるUI/UXデザインを担当いただきます。単なるバナーやLPの量産ではなく、モジュール設計やデザインガイドラインの策定・運用、競合調査など、上流からのデザイン提案がメインの業務となります。具体的には、新規・既存サービス（プロジェクト）のUI/UXを中心としたデザイン作成、既存機能修正およびシステム改修に伴うデザイン作成、デザインガイドラインの作成・更新および提案、競合他社の調査・分析対応、顧客の要望を汲み取ったモジュール（コンポーネント）の設計・制作を行います。,,【必須】Figmaの仕様を深く理解した上でのデザインアプローチ・提案、UI/UXの基本原則を理解し、実務に活かした経験、デザインガイドラインの策定・運用に携わった経験、顧客の要望を主体的に汲み取り、モジュール設計へ落とし込む能力、徹底した自己検品能力と、差し込み案件に対応できるマルチタスク管理能力。【尚可】主体的に責任を持ってプロジェクトを推進できる方、金融・証券業界への知見、または証券口座をお持ちの方、他部署と円滑に連携できるコミュニケーション能力。年齢：30代まで。国籍：外国籍不可。個人事業主不可。
T260118-0339,PMOサポート,PMO,,40万円～45万円,西府駅 / 常駐（Plus10）,会議設定、議事録作成、進捗管理、部品管理、文書管理、他チーム支援など,,PMO補佐系のIT現場経験 ※短期のみはNGです、Office及びメールの使用経験
T260118-0341,金融機関向け展開業務支援,ヘルプデスク,,〜40万円,府中 / リモート可（週1〜）,"金融機関向けPC展開に伴う業務支援
・Windows11化に伴う各種資料作成
　※顧客はWindows10延長保守を選択中
・スケジュール管理
・業務資料作成
作業工程：展開支援／運用補助
その他：金融機関向け案件のため、丁寧な対応が求められます",,"＜必須＞
・Officeを使用した業務経験
・Excelを使いこなせる方（関数が得意な方歓迎）
・資料作成経験
・PCキッティング経験
・顧客折衝力
＜尚可＞
・ヘルプデスク経験"
T260203-0448,,,,,,,,
T260203-0449,自動車保証サービスのシステム保守開発,システムエンジニア(SE),"VB.NET, HTML5, CSS3, SQL",～45万円固定,六本木一丁目 / リモート可（週1〜）,周辺システムや保証サービスに関わる保守開発（設計～テスト、リリース）を担当いただきます。弊社正社員および上位企業メンバーが多数参画しており、10年以上のベテランも在籍しているため、不明点をすぐに解消できる非常に安定した環境です。自動車保証サービスおよび周辺システムの保守開発。フェーズ：設計 ～ 製造 ～ テスト ～ リリース。既存機能の改修および不具合対応。,"言語： VB.net, HTML, CSS, ASP(classic) / DB： SQL Server (SQL, ストアドプロシージャ) / ツール： HULFT","＜必須＞ VB.net, SQL Server (SQL, ストアド), HTML / CSS, HULFTを用いた実務経験。自ら周囲とコミュニケーションを取り、報連相を徹底できる方。＜尚可＞ ASP(classic) の知見。年齢不問。日本国籍のみ。在宅用のPCは自社（または個人）にて準備（シンクライアント方式）。"
T260118-0348,土木工事実績システムの改修/建築積算システムのリプレース,システムエンジニア(SE),"VB.NET, Oracle, SQL","60万円〜65万円程度, スキル見合い",亀戸 / 常駐（Plus10）,製造～テストを担当いただきます。設計書の修正や作成もお願いする場合もございます。,,VB.NET開発経験3年前後、Oracle（SQLでも可）、詳細設計・基本設計の経験、外国籍不可、60歳まで（60歳以上も検討可）
T260118-0351,業務システムリプレイス開発要員募集（リモート併用）,システムエンジニア(SE),"JavaScript, Salesforce",～80万円,八丁堀 / リモート可（週1〜）,業務効率化に伴う現行ツール(Monday.com)からSlackを中心とした業務への移行プロジェクト。現行ツールで行っている現行業務をSlackとSalesforce、FormrunとGoogleスプレッドシートを利用した業務に置き換える。担当範囲は設計、製造、リリース工程（要件定義ができれば尚良）。,"monday.com, Formrun, Googleスプレッドシート（GAS）, Slack, Salesforce",必須スキル: JavaScript開発経験、GAS開発経験（データ連携、API連携などの経験があれば尚良し）、SaaS開発経験。尚良スキル: SlackとSalesforceの連携経験、GASを使った各サービスへの連携経験（Salesforce連携、Slack通知）、各サービスとの連携部分の処理とエラーハンドリング。その他: 外国籍の方は日本語コミュニケーションに一切の問題がなく、日本人とのコミュニケーション必須の開発現場で就業経験が1年以上あること。通院、その他変則的な勤務時間調整が必要な方は事前に相談可能。
T260118-0355,システム移行案件,システムエンジニア(SE),"Python, Django, JavaScript, AWS",〜80万円,神谷町 / リモート可（週1〜）,システム移行案件です。当該のシステムからある機構に委託して運用しているシステム（A）と、元請けが委託して設計・構築し現在運用しているシステム（B）がありますが、AのシステムをBのクラウドに移行し、Aを停止する（Aの停止は機構が担当します）案件です。もともと性質が似通っているAとBの2つシステムがあり、別々のシステムではなく、1つのシステムに見えるようにした方がよいという活動を監査する部門からの改善提案を受けて、案件化したものです。Aは、Djangoフレームワークで作れたWebアプリケーションで、一般公開機能と管理者機能があります。Bは、AWSに構築したクラウドネイティブなWebアプリケーションで、一般公開機能と管理者機能があります。Bに、Aをマージしていくのではなく、BのAWSテナントにEC2やAurora PostgreSQLを別途立てて、Aを立ち上げます。一部、Bの公開部分のリンクをAに遷移するようにする必要がありますが、ほとんどBは触りません。またAも見た目の色を多少変えるだけで、機能はほぼ触りません。上記のシステム移行に加えて、別途現行手作業で作っている帳票を自動化するプログラムと、Bのデータを提供するAPIを1つ作ります。・Djangoで作られたWebアプリケーションをEC2上で動作させ、DB（Aurora PostgreSQL）接続部分を改修します。・Aurora PostgreSQLのデータをAPI Gateway - Lambda でAPIを1つ作ります。・帳票を自動化するプログラムを7つ（帳票が7種類あるため）作ります。主にDjangoのWebアプリケーションをEC2上で動作するようにしていただく部分をご担当いただける方を募集しています。なお、Amazon Q DeveloprやCopilotを使うことを推進していますので、AIエージェントを用いた設計や開発の経験を身に着けていただけます。・実装、単体テストケースの作成、単体テストの実施・結合テストの実施・総合テストの実施,"Django, AWS (EC2, Aurora PostgreSQL, API Gateway, Lambda)","・設計、単体テスト、結合テスト、総合テストの実施（5年以上）
・Django（Python）を用いた開発、単体テスト（5年以上）
・HTML/CSS/JavaScriptを用いた開発、単体テスト（5年以上）
【尚可】・AWS（EC2, Aurao PostgreSQL, CloudFront）を用いた開発、単体テスト（3年以上）"
T260118-0356,次期更改テスト支援および運用監視維持保守,インフラエンジニア,"Shell, UNIX, Perl, JP1","スキル見合い, 50万～55万",中野 / リモート可（週1〜）,業種：金融。新たな監視対象システムをJP1に追加/受入れるために、設計、開発、テスト、移行作業を実施する。(オペレーション作業ではありません。)その他、ジョブの処理遅延調査や移行ツール(シェル)のテスト・修正などの運用対応や問い合わせ対応、トラブル対応を行う。次期更改案件におけるシェルのテストを実施する。,,必須)シェルの製造経験(1年以上) 必須)UNIXコマンドが使えること 必須)テストフェーズの現場経験(1年以上) 尚良) Perl製造経験 尚良)影響調査、原因調査、復旧対応、事後対応が一人称で行えること 尚良) JP1/AJSの構築、運用経験 人数：1名 期間：即日or２月～３月(延長の可能性大) 面談：中野の現場にて対面で1回を希望。WEBでの実施は要調整です。 勤務時間：8時50分～17時20分(昼休憩45分) 精算：140時間-190時間 国籍：外国籍不可
T260118-0359,基本設計～/Java/SpringBoot/React/Azure,システムエンジニア(SE),"Java, Spring, React, SQL, Microsoft Azure",～60万円前後,都内湾岸エリア / リモート可（週1〜）,Java／Webアプリケーション開発支援。物流関連業務を支える社内向けシステムにおいて、既存機能の再構築および業務改善を目的としたWebアプリケーション開発をご担当いただきます。拠点間で発生する問い合わせ対応を効率化するため、既存システムをベースに設計～リリースまで一貫して携わっていただく想定です。1案件完了後も、状況に応じて別プロジェクトへの継続参画の可能性があります。,"バックエンド：Java（SpringBoot）
フロントエンド：React
DB：RDB（SQLベース）
クラウド：Azure","・バックエンド：Java（SpringBoot）
・フロントエンド：React
・DB：RDB（SQLベース）
・クラウド：Azure
※チーム内で補完可能であれば問題ございません。
・面談：2回
・募集人数：若干名
・個人事業主可
・外国籍可（日本語での業務コミュニケーション必須）
・年齢目安：～50代前半"
T260118-0361,高機能消防指令システム及び消防救急無線システム構築業務,インフラエンジニア,"VBA, SQL, ファイヤーウォール",スキル見合い,蕨 / 常駐（Plus10）,各消防署内での消防指令／無線システム構築業務・サーバ、NW機器構築から試験、ドキュメント作成まで対応,,長期間の出張および残業対応が可能な方・普通自動車免許保有（ペーパードライバー不可）・Windows PCの一般操作・Excel関数、VBAの実務経験・NW機器（Switch／Router／Server）の基礎知識・主体性、コミュニケーション力、品質意識。歓迎スキル：SQL Server構築経験・L2／L3、FW機器の設定経験
T260118-0362,業務効率化（VB.NET及びVBA）,システムエンジニア(SE),"VB.NET, VBA",スキル見合い,元町中華街駅からバス15分or根岸駅からバス20分 / 常駐（Plus10）,VB.NET／VBAによる業務効率化対応・AI系ツールを組み合わせた改善施策あり,,【必須スキル】VB.NETの実務経験・Visual Basic（VBA含む）の実務経験【歓迎スキル】生成AI、RPA、データ分析ツール等の利用経験・AI関連業務への参画経験
T260118-0363,AWS基盤認証サービス運用保守PJ,クラウドエンジニア,AWS,スキル見合い,田町、大船 / リモート可（週1〜）,AWS上で稼働する本人認証サービスの運用保守・ログ解析、障害対応、報告書作成,,AWS運用経験、障害対応経験、報告書作成スキル。歓迎スキル：EC2／Lambda／S3の業務利用経験、Webアプリ開発経験。
T260118-0364,フレームワークサービス化案件,システムエンジニア(SE),Java,MAX75万円,田町 / リモート可（週1〜）,開発された統合顧客モデルをベースにサービス化を実現する。1.サービス化にあたってガイドの整備 2.サービス化にあたって追加機能の設計 3.サービス化にあたって統合顧客モデルで作成した設計書の修正。フェーズ：概要設計,Java、NeoSarf（フレームワーク）,①コミュニケーション能力に問題がない方。②WEB機能概要設計経験者 ③NeoSarfフレームワークを利用した機能の設計経験（必須ではないが、経験なしの場合は新規フレームワークに意欲がある方）
T260118-0365,RibbonSBCの構築・設計・検証,システムエンジニア(SE),Linux,スキル見合い,蕨 または 千葉ニュータウン中央 / リモート可（週1〜）,顧客向けRibbonSBCの構築、設計、検証対応,,ソフトウェア開発経験10年以上、リーダー経験3年以上、Linux（RHEL）経験2年以上
T260118-0369,社員支援業務,プロジェクトマネージャー,COBOL,～100万円（スキルによる）,高田馬場 / 常駐（Plus10）,損保会社様の統合案件における社員支援業務。進捗管理、進捗報告、課題管理、ベンダーコントロールなど。,,損保会社向けシステム 設計・開発経験（要件定義以降）、IBM COBOL 設計・開発経験、PM、PL経験。年齢制限：50代まで希望。外国籍不可。事業主不可。
T260118-0371,FA向けカメラシステム PCソフト開発（C#／WPF・アーキ設計）,システムエンジニア(SE),"C#, XAML, Git, C++, Linux",65万円～80万円（スキル見合い）,築地または お台場 / 常駐（Plus10）,"・FA向けカメラシステムのPCアプリケーション開発
・製品開発におけるアーキテクチャ設計業務
・C#／WPF（XAML）を用いたオブジェクト指向設計および実装
・拡張性・保守性を考慮したクラス設計、インターフェース設計
・設計内容に基づく実装および動作確認",,"（必須要件）
・C#／WPF（XAML）によるオブジェクト指向設計・実装の実務経験
　※以下のような設計経験を有すること
　　- 多態性を考慮したインターフェース設計
　　- 抽象基底クラスの設計
　　- デザインパターンを用いたクラス設計
・ドメイン駆動設計（DDD）に関する基礎的な理解
　※書籍・Web等による座学レベルでも可
　（参画後にキャッチアップする意欲がある方）

（尚可要件）
・ドメイン駆動設計の実務経験
・Git／GitLab または GitHub の利用経験
・C++による組み込みLinux開発の実務経験
・アジャイル開発（スクラム）の実務経験"
T260118-0373,データ可視化システム開発,システムエンジニア(SE),Windows,スキル見合い,関内 / 常駐（Plus10）,特定ターゲット向けのデータを可視化するシステム開発,Windows/Mac,"必須スキル
・UnrealEngineを使った3Dアプリの開発経験
・スマートフォン向けアプリの開発経験
・要件定義～開発・評価までの経験
尚可スキル
・CI / CDシステムの構築経験(自動テスト開発含む)"
T260118-0379,基幹系WFシステム保守運用担当エンジニア,システムエンジニア(SE),"SQL, VBA, kintone, Java, JavaScript",完全スキル見合い,六本木一丁目 / リモート可（週1〜）,全事業に関わるワークフローシステムのローコード開発および運用保守担当を募集しています。対象システムで現時点では主に契約管理、購買管理、債務管理、債権管理についてワークフローシステムでの運用をしており、範囲として会計システムに連携するデータを作成するところまでを対象としています。ユーザ（事業担当者、法務部、経理部、総務部等）からの要求に基づく改修、設定変更への対応、定型のメンテナンス作業、問い合わせ対応だけでなく、業務のあるべき姿を検討、理解したうえで提案し、要件定義や設計、設定、ベンダコントロールも実施頂く想定です。事業部門と経理部門の両組織を繋ぐ仕組みづくりを担うため、システムに関する知見だけでなく事業内容や経理業務・会計についても理解を深めていくことが求められます。,,必須：システム要件定義、設計、開発、テスト、移行、運用設計、といった一連のシステム導入・開発・運用の一部、もしくは、すべての工程の経験、SQLの知識、エンドユーザからの問い合わせ対応を含む運用保守経験、ベンダコントロール経験。尚可：購買（債務管理／支払）・販売（債権管理）の業務領域の知識、簿記3級以上の経理知識、VBA、GAS（Google App Script）によるツール開発経験、kintoneによる開発経験、Java、JavaScript。年齢：40代まで希望。外国籍：不可。
T260118-0383,NW機器の運用保守,ネットワークエンジニア,,35万円～40万円,芝浦ふ頭 / 常駐（Plus10）,"保守障害対応等
顧客からのNW機器の障害問合せに関する対応、機器交換",,"●下記シフト勤務で長期参画可能な方 
●ネットワークの運用、保守などの経験
▲サーバーの知識
▲キッティング、PCや機器の組み立て経験"
T260118-0385,Windows サーバー / SQL / パッケージシステムの保守作業,システムエンジニア(SE),"WindowsServer, SQL",50万円,築地市場駅 または 新橋駅 / リモート可（週1〜）,"人事給与アウトソーシング事業における既存顧客向けパッケージシステムの保守作業
・人事給与パッケージシステムを利用した各種設定、テスト作業（※開発業務なし）
・顧客からの問い合わせに対するシステム調査、対応
・本番環境での設定変更・確認作業","・人事／給与パッケージシステム
・Windows サーバー
・SQL（調査レベル）","・関係者と円滑なコミュニケーションが取れる方【重要】
・本番環境での作業経験
・実務経験2年以上
・アプリケーション保守経験
　（システム設定、テスト、調査対応の経験）
・給与業務に関する業務知識
・給与業務知識を前提とした要件整理・要件定義の経験
・パッケージシステムの保守経験
・人事／給与システムの運用経験
　（OBIC、ZeeM 等）
・Windowsサーバー作業経験
・SQL、プログラミング経験"
T260118-0392,業務システム刷新案件,フロントエンドエンジニア,JavaScript,60万円～70万円,豊洲駅 / 常駐（Plus10）,"業務システム刷新案件
画面側（フロントエンド）の開発・改修業務をメインにご担当いただきます。",,"必須スキル：
・JavaScriptでのフロントエンド開発経験3年以上
・基本設計以降の経験者
募集：複数名
備考：
・就業時間：9:00～18:00想定
・精算幅：140～180h
・貴社社員もしくはフリーランスまで
・外国籍不可"
T260118-0393,小売業向け新規・追加機能設計開発支援業務,システムエンジニア(SE),PHP,～70万前後まで（スキル見合い）,みなとみらい / 常駐（Plus10）,小売業向けの新規・追加機能の設計開発支援業務です。工程は基本設計以降を想定しています。2月開始、1名体制。精算は140-180h。面談は対面1回。40代までの方を希望。商流は貴社1社下まで（所属会社名開示あり）。勤務時間は9:00-18:00。個人事業主、フリーランスの方も応募可能です。,,PHP、Laravelを使用した開発経験（5年以上）、基本設計以降一人称で対応可能な方
T260118-0394,医療装置プラットフォーム開発,組込・制御エンジニア,"C言語, UML",60万円,北八王子 / リモート可（週1〜）,内視鏡洗浄機のミドル開発,,"C言語 基本設計以降の経験, UMLを使って設計できる方, 50代迄, 外国籍不可"
T260118-0395,LLMを使用したアプリケーション開発支援,バックエンドエンジニア,,80万円,九段下 / 常駐（Plus10）,"開始時期：即日～
勤務時間：9時ー18時または10時ー19時
募集人数：1名
商流制限：貴社まで
外国籍：不可
年齢制限：40代まで",PC貸与あり（MacまたはWindowsで選べます。,"LLMを使用したアプリケーション開発経験
RAGの精度検証、改善のご経験
バックエンドの開発ご経験"
T260118-0397,代々木　Java/RPG　顧客管理システム運用保守,システムエンジニア(SE),"Java, RPG, JavaScript, CSS, SQL, Struts, Linux",65万円程度,"代々木駅, 参宮橋駅 / 常駐（Plus10）",JavaWebアプリケーションのシステム運用保守をご担当いただきます。20年前に開発されたスクラッチシステムを今年の春から引き継いで運用保守に対応しており、3名1チームの1名が離任予定のため交代要員を募集しています。運用保守業務として、お客様からのお問い合わせに対するプログラムやデータの調査・回答、機能追加開発（Java、Jsp、Javascript、CSS、SQL、RPGなど）、システムの不具合修正を行います。,言語:Java、Jsp、Javascript、CSS、SQL、RPG / F/W:Struts1.1 / OS:Windows11（作業用PC）、Linux（Web/App）、IBM i（DB） / ミドルウェア:WebsphereApplicationServer、IHS、DB2,【必須スキル・経験】システム開発経験5年以上、Java開発経験3年以上、Webアプリケーション開発経験3年以上、上流工程（要件定義、基本設計）を一人称で実施した経験1年以上、対話でのコミュニケーションが得意であること。【歓迎スキル・経験】エンドユーザーとの会話経験、チームリーダー経験、システム運用保守経験、将来正社員化を考えてくれる方。
T260203-0431,映像サービス系スマホアプリ開発,アプリエンジニア,"Swift, Kotlin, Android",70万円/月程度,渋谷 / フルリモート,映像サービス系スマホアプリにおける機能追加開発 設計～製造～単体・結合試験までを担当,,"・iOS（Swift）またはAndroid（Kotlin）でのアプリ開発経験
・設計書を基に単独でコーディング可能なスキル
・コミュニケーション能力
・基本情報技術者資格
・iOS／Android両OSの開発知識
・スクラム開発経験
・外国籍不可
・45歳まで"
T260118-0402,通信系伝送ソフトウェアアプリ開発,組込・制御エンジニア,"C言語, Go言語, Linux",55万円〜65万円,千葉県我孫子市 / リモート可（週1〜）,開発するソフトウェアは、Linux-OS上で動作するC言語(一部Go言語)で作られています、各機能ごとにマルチプロセス/マルチスレッドで機能分割され、機能間インターフェースは、プロセス間通信 (メッセージキューや共有メモリ、ソケット通信)などで制御を行います。試験は、シミュレータもしくは実機を使用して、装置固有のCLIコマンドやLinuxコマンドを使用して、試験を行います。,"Linux-OS, C言語, Go言語",業務系C言語での開発経験3年以上、基本設計以降の経験、Linuxの基本コマンド出来る方、50代まで、外国籍不可
T260118-0405,某省庁案件に伴うNW作業,ネットワークエンジニア,,80万円まで,戸塚駅 / 常駐（Plus10）,"開始時期：2026年1月～3月末（延長予定）
精算時間：150～200H
面談回数：１回
募集人数：１名
外国籍：不可
商流制限：貴社まで",,NWの設計、構築、テストの一連の経験（5年以上）
T260118-0411,データマート作成・BIダッシュボード作成案件,データベースエンジニア,SQL,65万円〜70万円,新橋駅／汐留駅 / リモート可（週1〜）,"・社内システムから抽出したデータを用いたデータマート設計／構築
・要件に応じたSQL設計および作成（設計書作成含む）
・データ加工／管理ルールの検討・策定
・Snowflakeへのデータ取り込みに伴うデータカタログ作成
・運用手順書、設計書など各種ドキュメント作成
※設計・構築フェーズが中心となり、指示待ちではなく主体的な提案・設計が求められる環境です。",,"・SQLの設計／作成を一人称で対応できる方
・データ抽出～加工～テストまで一貫して対応した経験
・要件確認、データ定義に関する顧客折衝・調整経験
・論理的に説明できるコミュニケーション力
・BIツール（PowerBI 等）の知見
・Snowflakeの利用経験"
T260203-0430,リードプランナー,ゲームプランナー,,スキル見合い,都庁前 / 常駐（Plus10）,新規開発中タイトルのリードプランナーとして活躍いただける経験者を募集しております。ゲームの仕様提案から設計に至るまで幅広くプランナーの開発業務に関わっていただきます。・アウトゲームの仕様提案、作成・インゲームの仕様提案、作成・プロジェクトの進行管理※スキル、経験に応じて担当箇所を調整していく想定です。,,・プラットフォームを問わず、ゲームの新規開発経験・単体のPJで1年以上のアサイン経験・アウトゲーム、またはインゲームにおける開発仕様書の作成経験・複数セクションを跨いだ、開発におけるコミュニケーション能力・UI/UXを踏まえた設計思想・アウトゲーム、インゲーム双方の開発経験・パラメータ、ダメージといった各種計算式の設計経験・会議におけるファシリテーション経験・RedmineによるWBS作成、チケット処理といったスケジュール管理の経験・ゲーム、サブカルチャーが好きな方・コミュニケーション能力が高く、関係各所との連絡を迅速に行える方・流動的な状況であっても、主体性を持って業務を遂行できる方・25～49歳まで
T260118-0421,AI部門におけるPythonベースのアプリケーション開発・保守,AIエンジニア,"Python, Django, SQL",スキル見合い,二子玉川 / 常駐（Plus10）,DjangoやFastAPIなどのフレームワークを用いたRESTful APIの設計・構築 デプロイしたアプリケーションの徹底的なテスト、デバッグ、最適化を実施,,Pythonでの開発経験3-5年、AIおよびデータ処理に関連するPythonライブラリおよびフレームワークの使用経験、DjangoまたはFastAPIの知識、SQL、Influx、Prometheusデータベースの使用経験、アジャイル環境での実務経験、英語によるコミュニケーション(TOEIC800点以上)、外国籍可（日本語不要）※英語できる方、ご提案の際は英語版のスキルシートも併せてご送付ください。
T260203-0436,受託案件対応（ネットワーク）,ネットワークエンジニア,"Cisco, ファイヤーウォール",75万円,横浜 / リモート可（週1〜）,"弊社請負案件にて様々なネットワーク案件に従事いただく予定です。フェーズは上流工程～下流まで一貫して案件がございます。特にfortinet製品、Cisco製品のご経験が豊富な方を募集しています。案件により工程は異なりますが、下記に工程概要を記載いたします。
・基本設計書作成
- ネットワーク論理図・物理図作成
・詳細設計書
・パラメータシート作成
・構築
・単体・結合試験仕様書作成
・単体・結合試験","fortinet製品, Cisco製品","必須スキル
・NW製品の設計書作成経験（基本設計2年経験目安）
・顧客折衝やベンダコントロール経験
尚可スキル
・サブーリーダー経験者（推進力のある方）
・fotigateなどのfirewall周りの経験
備考：
・外国籍不可
・年齢30代(40代前半前半は要相談）※50代NG
・個人事業主NG
・休日、夜間対応が発生する際に受け入れが問題無い方（現地作業が構築時に発生する場合あり）"
T260203-0432,レベルデザイナー,ゲームプランナー,,70万まで,都庁前 / 常駐（Plus10）,"新規開発タイトルにかかわるプランナー業務をお任せいたします。
・レベルデザイン
・パラメータ設計
・マスターデータの登録、入力作業",,"・ゲームを制作する事が好きな方
・コンシューマーゲーム、スマートフォンゲーム等のゲーム開発経験3年以上、もしくはそれ相応のスキル・ご経験をお持ちの方
・マスターデータ入力経験
・スクリプト作成経験
・チーム内コミュニケーションが問題なく行える
・受身ではなく、能動的・自発的に仕事ができる
・ゲームプレイレポート（PDF）の提出必須
→＊補足説明＊
　今まで深くプレイしたゲームの情報を教えてください。
　タイトル数が膨大な場合は、近年のものを優先して10タイトル程度に抜粋していただいて問題ありません。
　また各ゲームでの武勇伝、攻略時の着眼点などあれば記載してください。
　様式は自由となります。
・プラットフォーム問わずMMORPG、MORPG、RPGの制作経験
　→プレイアブルキャラクターのパラメータ＆スキル設計経験
　→エネミーやボスのパラメータ設計経験
　→エネミーやボスの行動パータン(AI)設計経験
　→レベルデザイン制作経験
　※又はそれに類するスキルや経験をお持ちの方
・ゲームを始め、その他アニメや小説等・エンタテイメントにおける専門領域に達する知識
・ソーシャルゲームや、スマートフォンゲーム、PCオンラインゲームの運用経験
・Excel、PowerPoint、等のツールを使用した仕様書作成経験
・何事もポジティブに捉え、行動に移せる方
・受身ではなく、能動的・自発的に仕事ができる方
・新しいことに対して積極的に取り組める方
・ポジションにとらわれず、業務の幅を広げていける方
・何かに打ち込んだ経験または何かをやり遂げたことがある方
・25～49歳まで"
